fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,class,context
6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,1,2
8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,1,2
7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,1,2
6.8,0.22,0.41,6.7,0.034,39,116,0.99245,3.18,0.46,11.5,1,2
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,1,2
6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,1,2
6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10,1,2
8.1,0.26,0.33,11.1,0.052,52.5,158,0.9976,3.03,0.49,10.2,1,2
7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2,1,2
8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,1,2
5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,1,2
7,0.24,0.3,12.3,0.035,72,172,0.9954,2.99,0.57,10.4,1,2
7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,1,2
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,1,2
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,1,2
6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,1,2
6.1,0.24,0.25,1.6,0.044,24,115,0.9921,3.39,0.59,10.9,1,2
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,1,2
7.1,0.34,0.49,1.5,0.027,26,126,0.99,3.3,0.33,12.2,1,2
5.8,0.27,0.4,1.2,0.076,47,130,0.99185,3.13,0.45,10.3,1,2
7.7,0.28,0.24,2.4,0.044,29,157,0.99312,3.27,0.56,10.6,1,2
6.4,0.16,0.25,1.4,0.057,21,125,0.99091,3.23,0.44,11.1,1,2
7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,1,2
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,1,2
7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,1,2
6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,1,2
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,1,2
6.7,0.34,0.26,1.9,0.038,58,138,0.9893,3,0.47,12.2,1,2
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,1,2
6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,1,2
6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,1,2
6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5,1,2
6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,1,2
6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,1,2
6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2,1,2
7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,1,2
6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,1,2
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1,2
7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,1,2
5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,1,2
6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,1,2
7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,1,2
8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,1,2
7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,1,2
6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,1,2
6.8,0.22,0.49,0.9,0.052,26,128,0.991,3.25,0.35,11.4,1,2
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,1,2
7.3,0.22,0.5,13.7,0.049,56,189,0.9994,3.24,0.66,9,1,2
6.6,0.27,0.25,1.2,0.033,36,111,0.98918,3.16,0.37,12.4,1,2
7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,1,2
7,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,1,2
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,1,2
6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,1,2
6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,1,2
6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9,1,2
7.6,0.27,0.25,13.9,0.05,45,199,0.9984,3.34,0.5,9.8,1,2
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,1,2
7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,1,2
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,1,2
8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,1,2
6.8,0.33,0.28,1.2,0.032,38,131,0.9889,3.19,0.41,13,1,2
7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,1,2
7.4,0.29,0.25,3.8,0.044,30,114,0.992,3.11,0.4,11,1,2
7.1,0.18,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,1,2
7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,1,2
6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,1,2
5.7,0.2,0.3,2.5,0.046,38,125,0.99276,3.34,0.5,9.9,1,2
6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,1,2
5.7,0.25,0.32,12.2,0.041,43,127,0.99524,3.23,0.53,10.4,1,2
5.6,0.245,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3,1,2
6.6,0.28,0.34,0.8,0.037,42,119,0.9888,3.03,0.37,12.5,1,2
6.8,0.23,0.29,12.2,0.035,38,236,0.9976,3.35,0.52,9.8,1,2
7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,1,2
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,1,2
6.5,0.115,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,1,2
6.6,0.25,0.24,1.7,0.048,26,124,0.9942,3.37,0.6,10.1,1,2
7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,1,2
8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,1,2
7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,1,2
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,1,2
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,1,2
7.7,0.27,0.49,3.8,0.037,46,139,0.99116,3.04,0.38,11.6,1,2
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,1,2
7.1,0.47,0.29,14.8,0.024,22,142,0.99518,3.12,0.48,12,1,2
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,1,2
7.6,0.19,0.38,10.6,0.06,48,174,0.9962,3.13,0.38,10.5,1,2
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,1,2
6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,1,2
7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,1,2
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,1,2
6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,1,2
8.1,0.24,0.38,4.3,0.044,49,172,0.996,3.37,0.74,10.8,1,2
6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,1,2
7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,1,2
5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,1,2
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,1,2
7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,1,2
6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,1,2
9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,1,2
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,1,2
7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,1,2
6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8,1,2
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,1,2
6.6,0.28,0.3,12.9,0.033,31,177,0.99479,3.12,0.39,11.2,1,2
6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,1,2
6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,1,2
7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,1,2
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,1,2
5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,1,2
7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,1,2
6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,1,2
7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,1,2
7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,1,2
7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.4333333333333,1,2
6.6,0.21,0.29,1.8,0.026,35,128,0.99183,3.37,0.48,11.2,1,2
7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,1,2
7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,1,2
7.4,0.19,0.3,1.4,0.057,33,135,0.993,3.12,0.5,9.6,1,2
8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,1,2
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,1,2
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,1,2
6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,1,2
6.7,0.27,0.12,1.3,0.041,62,138,0.9921,3.21,0.42,10,1,2
6.9,0.44,0.27,5,0.038,33,166,0.99124,3.2,0.42,12.2,1,2
6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,1,2
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,1,2
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,1,2
7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,1,2
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,1,2
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,1,2
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,1,2
8.1,0.3,0.31,1.1,0.041,49,123,0.9914,2.99,0.45,11.1,1,2
8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,1,2
5.7,0.25,0.21,1.5,0.044,21,108,0.99142,3.3,0.59,11,1,2
6.7,0.53,0.29,4.3,0.069,20,114,0.99014,3.22,0.59,13.4,1,2
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,1,2
7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,1,2
7.1,0.39,0.3,9.9,0.037,29,124,0.99414,3.07,0.42,10.9,1,2
8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,1,2
6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9,1,2
6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,1,2
6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5,1,2
7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,1,2
6.9,0.28,0.41,1.7,0.05,10,136,0.993,3.16,0.71,11.4,1,2
6.6,0.17,0.36,1.9,0.036,38,110,0.99056,3.05,0.54,11.4,1,2
6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,1,2
7.2,0.19,0.31,1.4,0.046,37,135,0.9939,3.34,0.57,10.2,1,2
7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,1,2
7.4,0.25,0.37,2.6,0.05,24,132,0.99138,3.04,0.53,11.2,1,2
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,1,2
8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,1,2
6.8,0.21,0.4,6.3,0.032,40,121,0.99214,3.18,0.53,12,1,2
7,0.26,0.34,10.9,0.038,25,84,0.99432,3.11,0.34,10.9,1,2
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,1,2
6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,1,2
6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,1,2
7.2,0.58,0.27,5.8,0.032,40,118,0.99088,3.17,0.53,13,1,2
6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,1,2
6.7,0.23,0.33,8.1,0.048,45,176,0.99472,3.11,0.52,10.1,1,2
7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,1,2
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,1,2
6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,1,2
6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,1,2
7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,1,2
5.6,0.19,0.31,2.7,0.027,11,100,0.98964,3.46,0.4,13.2,1,2
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,1,2
8,0.42,0.36,5,0.037,34,101,0.992,3.13,0.57,12.3,1,2
8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,1,2
8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,1,2
5.6,0.18,0.3,10.2,0.028,28,131,0.9954,3.49,0.42,10.8,1,2
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,1,2
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,1,2
6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,1,2
6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,1,2
7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,1,2
7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,1,2
6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,1,2
7.4,0.26,0.3,7.9,0.049,38,157,0.9963,3.13,0.48,8.9,1,2
6.9,0.25,0.27,9.05,0.039,37,128,0.9936,3.27,0.34,11.3,1,2
7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,1,2
7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,1,2
7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,1,2
6.7,0.15,0.32,7.9,0.034,17,81,0.99512,3.29,0.31,10,1,2
5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,1,2
6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,1,2
7.3,0.4,0.24,6.7,0.058,41,166,0.995,3.2,0.41,9.9,1,2
8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,1,2
7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,1,2
5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,1,2
6.7,0.21,0.34,1.4,0.049,36,112,0.99091,3.02,0.5,11,1,2
6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,1,2
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,1,2
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,1,2
6.6,0.23,0.2,11.4,0.044,45,131,0.99604,2.96,0.51,9.7,1,2
6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,1,2
6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,1,2
7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,1,2
8.8,0.23,0.74,3.2,0.042,15,126,0.9934,3.02,0.51,11.2,1,2
6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,1,2
5.8,0.12,0.21,1.3,0.056,35,121,0.9908,3.32,0.33,11.4,1,2
